id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_zip_code,restaurant_location_address1
168,kebab,Kebab,F2HUfsf0sBzkjXWiM93ymg,Mustafas Gemüse Kebap,€,1075,4.0,,3498.12945085347,52.493825,13.3880366380635,10961,Mehringdamm 32
169,korean,Korean,X9MF12TKs84W-y7CVNQo1w,Gogogi,€€,33,4.0,+493055246141,1888.884813241116,52.53079,13.40189,10119,Weinbergsweg 24
170,indpak,Indian,Ul_fxm7Rg-QSsWGPg3xclA,ammAmma,€,61,4.5,+493078718485,4659.9000636300425,52.4850306,13.3522505,10823,Eisenacher Str. 59
171,cuban,Cuban,4L6vbqMCeAQbHUyNRK5QWw,La Casa Buena Vista,€€,63,4.5,+493092370685,6671.559684134366,52.55003,13.46487,13088,Bizetstraße 136
172,cocktailbars,Cocktail Bars,4L6vbqMCeAQbHUyNRK5QWw,La Casa Buena Vista,€€,63,4.5,+493092370685,6671.559684134366,52.55003,13.46487,13088,Bizetstraße 136
173,cajun,Cajun/Creole,4L6vbqMCeAQbHUyNRK5QWw,La Casa Buena Vista,€€,63,4.5,+493092370685,6671.559684134366,52.55003,13.46487,13088,Bizetstraße 136
174,vegetarian,Vegetarian,0VBlZfPnfpWHoMRiSY_iiw,momos,€,12,4.0,+491602688177,834.7947870310736,52.52758,13.38715,10115,Chausseestr. 2
175,vegan,Vegan,0VBlZfPnfpWHoMRiSY_iiw,momos,€,12,4.0,+491602688177,834.7947870310736,52.52758,13.38715,10115,Chausseestr. 2
176,mediterranean,Mediterranean,k2MwXoCpnrsO-tt3QocyzA,Agora,,1,5.0,+493028444898,2955.5010280019787,52.5095,13.41197,10179,Annenstr. 13
177,german,German,3LHWNkukiVBztEXdMXUaLA,Repke Spätzlerei,€,79,4.0,+493088718672,4386.819792136213,52.50421,13.32008,10623,Bleibtreustr. 46
178,mideastern,Middle Eastern,3p9lgQFMsVWPKKw3O1nRPA,Layla,,9,4.5,+4915122563654,2588.77652732829,52.50149,13.38327,10963,Hallesche Str. 10
179,german,German,zoqrQLulC-weIVB83OIc4Q,Elefant,€€,159,4.5,+493023607346,3502.052178173731,52.4989484,13.3453693,10777,Fuggerstr. 18
180,chinese,Chinese,fsZLstZPYEyh0_nfBvaEtg,LIU 成都味道 Chuan Chuan Xiang & Nudelhaus,,10,4.0,+491786684572,1656.89916050009,52.5112694,13.3874362,10117,Kronenstr. 72
181,soup,Soup,fsZLstZPYEyh0_nfBvaEtg,LIU 成都味道 Chuan Chuan Xiang & Nudelhaus,,10,4.0,+491786684572,1656.89916050009,52.5112694,13.3874362,10117,Kronenstr. 72
182,foodstands,Food Stands,F2HUfsf0sBzkjXWiM93ymg,Mustafas Gemüse Kebap,€,1075,4.0,,3498.12945085347,52.493825,13.3880366380635,10961,Mehringdamm 32
183,kebab,Kebab,F2HUfsf0sBzkjXWiM93ymg,Mustafas Gemüse Kebap,€,1075,4.0,,3498.12945085347,52.493825,13.3880366380635,10961,Mehringdamm 32
184,german,German,-x0xurlF6rBjQtto7JU-bg,acht&dreissig,€€,23,4.5,+493037465031,1066.0464936548929,52.525488,13.39151,10117,Oranienburger Str. 38
185,mexican,Mexican,SugGVcQTeL-7Rx0fZgyrgw,Taquería Ta'Cabrón,€,145,4.0,+493032662439,4954.961124669038,52.4998771,13.4369915,10997,Skalitzer Str. 60
186,divebars,Dive Bars,SugGVcQTeL-7Rx0fZgyrgw,Taquería Ta'Cabrón,€,145,4.0,+493032662439,4954.961124669038,52.4998771,13.4369915,10997,Skalitzer Str. 60
187,greek,Greek,0oZ6GNvAPyItdGcrlSJrcw,Asteria,€€,119,4.5,+493040053571,3083.6039432257235,52.5414439100881,13.4118138626218,10435,Schönhauser Allee 143
188,thai,Thai,1z9sINlk-lb_ehNImziP7Q,Thai Window Asia,€,61,4.5,+493063378610,2544.5175556035533,52.5277522833396,13.4130607292624,10119,Torstr. 22
189,peruvian,Peruvian,yPvnZmeL08H1AL1xBYFIcw,Naninka,€€,9,5.0,+4915784286610,2541.4130243306718,52.5278074072668,13.33870817852,10551,Arminiusstr. 2 - 4
190,jazzandblues,Jazz & Blues,Z3ZPTEsO1QXkYuTD5eFIGA,Yorckschlösschen,€€,80,4.0,+49302158070,3447.9451932561096,52.4936359678454,13.3822574920655,10965,Yorckstr. 15
191,beergarden,Beer Garden,Z3ZPTEsO1QXkYuTD5eFIGA,Yorckschlösschen,€€,80,4.0,+49302158070,3447.9451932561096,52.4936359678454,13.3822574920655,10965,Yorckstr. 15
192,german,German,Z3ZPTEsO1QXkYuTD5eFIGA,Yorckschlösschen,€€,80,4.0,+49302158070,3447.9451932561096,52.4936359678454,13.3822574920655,10965,Yorckstr. 15
193,gastropubs,Gastropubs,HAn6q1OD7AMbxJMqqmDOsQ,Salt n Bone,€€,39,4.5,+493091448885,3697.01082810725,52.54409,13.419856,10437,Schliemannstr. 31
194,cocktailbars,Cocktail Bars,HAn6q1OD7AMbxJMqqmDOsQ,Salt n Bone,€€,39,4.5,+493091448885,3697.01082810725,52.54409,13.419856,10437,Schliemannstr. 31
195,steak,Steakhouses,jbcZvy-y4DsyjVyxxJEXiw,Steakhouse Asador,€€,230,4.5,+493025931818,2431.6500147328,52.50383,13.38806,10963,Wilhelmstr. 22
196,mexican,Mexican,WVvjPjxncn_w5Rx2eIC1BQ,Dolores,€,521,4.0,+493028099597,2262.208125732613,52.523781,13.409277,10178,Rosa-Luxemburg-Str. 7
197,georgian,Georgian,ssTbFrl0YkJwb00HIMhW9w,Schwiliko,€€,32,4.0,+493061623588,5593.203177280522,52.49867,13.44686,10997,Schlesische Str. 29
198,german,German,-x0xurlF6rBjQtto7JU-bg,acht&dreissig,€€,23,4.5,+493037465031,1066.0464936548929,52.525488,13.39151,10117,Oranienburger Str. 38
199,mexican,Mexican,SugGVcQTeL-7Rx0fZgyrgw,Taquería Ta'Cabrón,€,145,4.0,+493032662439,4954.961124669038,52.4998771,13.4369915,10997,Skalitzer Str. 60
200,divebars,Dive Bars,SugGVcQTeL-7Rx0fZgyrgw,Taquería Ta'Cabrón,€,145,4.0,+493032662439,4954.961124669038,52.4998771,13.4369915,10997,Skalitzer Str. 60
201,greek,Greek,0oZ6GNvAPyItdGcrlSJrcw,Asteria,€€,119,4.5,+493040053571,3083.6039432257235,52.5414439100881,13.4118138626218,10435,Schönhauser Allee 143
202,thai,Thai,1z9sINlk-lb_ehNImziP7Q,Thai Window Asia,€,61,4.5,+493063378610,2544.5175556035533,52.5277522833396,13.4130607292624,10119,Torstr. 22
203,peruvian,Peruvian,yPvnZmeL08H1AL1xBYFIcw,Naninka,€€,9,5.0,+4915784286610,2541.4130243306718,52.5278074072668,13.33870817852,10551,Arminiusstr. 2 - 4
204,jazzandblues,Jazz & Blues,Z3ZPTEsO1QXkYuTD5eFIGA,Yorckschlösschen,€€,80,4.0,+49302158070,3447.9451932561096,52.4936359678454,13.3822574920655,10965,Yorckstr. 15
205,beergarden,Beer Garden,Z3ZPTEsO1QXkYuTD5eFIGA,Yorckschlösschen,€€,80,4.0,+49302158070,3447.9451932561096,52.4936359678454,13.3822574920655,10965,Yorckstr. 15
206,german,German,Z3ZPTEsO1QXkYuTD5eFIGA,Yorckschlösschen,€€,80,4.0,+49302158070,3447.9451932561096,52.4936359678454,13.3822574920655,10965,Yorckstr. 15
207,gastropubs,Gastropubs,HAn6q1OD7AMbxJMqqmDOsQ,Salt n Bone,€€,39,4.5,+493091448885,3697.01082810725,52.54409,13.419856,10437,Schliemannstr. 31
208,cocktailbars,Cocktail Bars,HAn6q1OD7AMbxJMqqmDOsQ,Salt n Bone,€€,39,4.5,+493091448885,3697.01082810725,52.54409,13.419856,10437,Schliemannstr. 31
209,steak,Steakhouses,jbcZvy-y4DsyjVyxxJEXiw,Steakhouse Asador,€€,230,4.5,+493025931818,2431.6500147328,52.50383,13.38806,10963,Wilhelmstr. 22
210,mexican,Mexican,WVvjPjxncn_w5Rx2eIC1BQ,Dolores,€,521,4.0,+493028099597,2262.208125732613,52.523781,13.409277,10178,Rosa-Luxemburg-Str. 7
211,georgian,Georgian,ssTbFrl0YkJwb00HIMhW9w,Schwiliko,€€,32,4.0,+493061623588,5593.203177280522,52.49867,13.44686,10997,Schlesische Str. 29
212,pizza,Pizza,CAoUMz4XJGvSVEccEOQ04A,Pascarella,€€,6,4.5,+493031168580,957.9719753896072,52.5323,13.38143,10115,Chauseestr. 30
213,italian,Italian,CAoUMz4XJGvSVEccEOQ04A,Pascarella,€€,6,4.5,+493031168580,957.9719753896072,52.5323,13.38143,10115,Chauseestr. 30
