id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
0,german,German,8uBE9ZgfZOM2z_Rllw478Q,Stadtklause,€,172,4.5,+493051056381,2205.244050414826,52.504779,13.380618,Berlin,10963,Bernburger Str. 35
1,modern_european,Modern European,6BCLgz8j6j2em7XLLsXoow,Lorenz Adlon Esszimmer,€€€€,67,5.0,+493022611960,969.3816096240975,52.516109,13.380014,Berlin,10117,Unter den Linden 77
2,burgers,Burgers,yAhYpg2GGeEUV2Li7HOp8g,Momotaro Tavern,€€,57,4.5,+4915203708888,2315.5159976568266,52.521213,13.4096765920655,Berlin,10178,Panoramastr. 1 A
3,asianfusion,Asian Fusion,yAhYpg2GGeEUV2Li7HOp8g,Momotaro Tavern,€€,57,4.5,+4915203708888,2315.5159976568266,52.521213,13.4096765920655,Berlin,10178,Panoramastr. 1 A
4,ramen,Ramen,jIddBhydYQEOECaa199Hag,Cocolo Ramen,€€,293,4.0,+493098339073,1612.2813770372095,52.52718,13.39934,Berlin,10119,Gipsstr. 3
5,arabian,Arabian,zoV7ywdHBys01E2ndtzZ3Q,Cana Restaurant,€€,49,4.5,+493024083280,2610.3392219279554,52.5122795127759,13.4088950945122,Berlin,10179,Neue Roßstr. 11 - 12
6,international,International,UzXq4QuasWnooTzHQlsMJg,Muse,€€,60,4.5,+493040056289,3352.0209794086654,52.53299,13.42322,Berlin,10405,Immanuelkirchstr. 31
7,sandwiches,Sandwiches,UzXq4QuasWnooTzHQlsMJg,Muse,€€,60,4.5,+493040056289,3352.0209794086654,52.53299,13.42322,Berlin,10405,Immanuelkirchstr. 31
8,burgers,Burgers,UzXq4QuasWnooTzHQlsMJg,Muse,€€,60,4.5,+493040056289,3352.0209794086654,52.53299,13.42322,Berlin,10405,Immanuelkirchstr. 31
9,indpak,Indian,1EQUHShNgesuKm-5LEfaeg,AmmAmma,€,138,4.5,+493074073516,4357.7835202157885,52.49198,13.41188,Berlin,10967,Urbanstr. 28 a
10,chocolate,Chocolatiers & Shops,MqiobbxpvGTciQk75G9u2w,Rausch Schokoladenhaus,€€,309,4.5,+4930757880,1719.063263067461,52.51199,13.3913499,Berlin,10117,Charlottenstr. 60
11,cafes,Cafes,MqiobbxpvGTciQk75G9u2w,Rausch Schokoladenhaus,€€,309,4.5,+4930757880,1719.063263067461,52.51199,13.3913499,Berlin,10117,Charlottenstr. 60
12,breakfast_brunch,Breakfast & Brunch,_n0Awcf8FFjXBJaCgXXROw,Café Bondi,€€,109,4.5,,1035.2026097377952,52.53034261696,13.38763160899,Berlin,10115,Eichendorffstr. 6
13,cafes,Cafes,_n0Awcf8FFjXBJaCgXXROw,Café Bondi,€€,109,4.5,,1035.2026097377952,52.53034261696,13.38763160899,Berlin,10115,Eichendorffstr. 6
14,breakfast_brunch,Breakfast & Brunch,Eobze0Xon9szj_2nj7BrUQ,FACTORY GIRL,€€,262,4.0,+493045950405,1588.9623906143374,52.527302,13.398852,Berlin,10119,Auguststr. 29 C
15,cafes,Cafes,Eobze0Xon9szj_2nj7BrUQ,FACTORY GIRL,€€,262,4.0,+493045950405,1588.9623906143374,52.527302,13.398852,Berlin,10119,Auguststr. 29 C
16,desserts,Desserts,Eobze0Xon9szj_2nj7BrUQ,FACTORY GIRL,€€,262,4.0,+493045950405,1588.9623906143374,52.527302,13.398852,Berlin,10119,Auguststr. 29 C
17,israeli,Israeli,ZTdPX0iOUSjHU3_2jRrYeQ,JOSEPH,,5,4.0,+4930314950700,818.1424669456077,52.525941,13.387679,Berlin,10117,Friedrichstr. 113
18,german,German,dXiRPNAnhCMOykD53SFsXQ,Aigner Gendarmenmarkt,€€€,120,4.0,+4930203751850,1477.6131229937992,52.5146991,13.3907825,Berlin,10117,Französischestr. 25
